count,age,sex,race,intent,year
3,24,M,Hispanic,Accidental,2014
5,19,M,White,Accidental,2013
2,28,F,White,Accidental,2013
1,19,M,Hispanic,Undetermined,2014
7,65,M,White,Accidental,2012
1,58,M,Native American/Native Alaskan,Homicide,2013
2,78,M,White,Accidental,2014
1,69,F,White,Accidental,2014
18,29,M,Hispanic,Suicide,2012
8,22,F,Hispanic,Suicide,2012
183,67,M,White,Suicide,2012
12,76,F,White,Suicide,2012
2,75,M,Black,Homicide,2013
1,68,F,Black,Homicide,2013
1,13,M,Asian/Pacific Islander,Homicide,2013
196,18,M,Black,Homicide,2014
27,25,F,Black,Homicide,2014
1,88,M,Asian/Pacific Islander,Homicide,2014
16,50,M,Hispanic,Suicide,2013
1,57,F,White,Accidental,2012
309,55,M,White,Suicide,2014
1,59,F,Hispanic,Suicide,2013
2,34,M,Asian/Pacific Islander,Homicide,2012
46,62,F,White,Suicide,2014
8,64,M,White,Accidental,2012
6,21,M,Native American/Native Alaskan,Homicide,2012
6,23,M,White,Undetermined,2013
1,32,F,White,Undetermined,2013
2,23,M,Hispanic,Accidental,2014
2,20,M,White,Accidental,2013
1,50,F,Native American/Native Alaskan,Homicide,2013
7,66,M,White,Accidental,2012
3,77,M,White,Accidental,2014
1,70,F,White,Accidental,2014
24,30,M,Hispanic,Suicide,2012
2,21,F,Hispanic,Suicide,2012
17,75,F,White,Suicide,2012
214,68,M,White,Suicide,2012
2,76,M,Black,Homicide,2013
18,26,F,Black,Homicide,2014
147,17,M,Black,Homicide,2014
1,35,M,Asian/Pacific Islander,Homicide,2012
37,63,F,White,Suicide,2014
1,42,F,Asian/Pacific Islander,Homicide,2012
15,51,M,Hispanic,Suicide,2013
349,54,M,White,Suicide,2014
5,60,M,White,Undetermined,2012
3,56,F,White,Accidental,2012
4,22,M,Native American/Native Alaskan,Homicide,2012
1,29,F,Native American/Native Alaskan,Homicide,2012
1,53,F,White,Undetermined,2012
182,73,M,White,Suicide,2012
4,21,M,White,Accidental,2013
2,71,F,White,Accidental,2014
2,80,M,White,Accidental,2014
1,18,M,White,Undetermined,2013
1,25,F,White,Undetermined,2013
3,18,M,Hispanic,Accidental,2014
297,24,M,Black,Homicide,2014
15,31,F,Black,Homicide,2014
24,27,M,Hispanic,Suicide,2012
2,20,F,Hispanic,Suicide,2012
1,49,F,Asian/Pacific Islander,Homicide,2012
5,40,M,Asian/Pacific Islander,Homicide,2012
57,60,F,White,Suicide,2014
8,56,M,Hispanic,Suicide,2013
9,82,F,White,Suicide,2012
308,53,M,White,Suicide,2014
3,19,M,Native American/Native Alaskan,Homicide,2012
2,28,F,Native American/Native Alaskan,Homicide,2012
5,58,M,White,Accidental,2012
1,63,M,White,Undetermined,2012
3,51,F,White,Accidental,2012
159,74,M,White,Suicide,2012
7,22,M,White,Accidental,2013
1,73,F,Black,Homicide,2013
3,79,M,White,Accidental,2014
1,17,M,Hispanic,Accidental,2014
1,26,F,Hispanic,Accidental,2014
298,23,M,Black,Homicide,2014
16,32,F,Black,Homicide,2014
2,19,F,Hispanic,Suicide,2012
22,28,M,Hispanic,Suicide,2012
1,48,F,Asian/Pacific Islander,Homicide,2012
329,52,M,White,Suicide,2014
8,81,F,White,Suicide,2012
1,82,M,Black,Homicide,2013
13,33,F,Black,Homicide,2014
43,61,F,White,Suicide,2014
1,20,M,Native American/Native Alaskan,Homicide,2012
3,50,F,White,Accidental,2012
8,57,M,Hispanic,Suicide,2013
6,59,M,White,Accidental,2012
4,62,M,White,Undetermined,2012
1,41,M,Asian/Pacific Islander,Homicide,2012
1,66,M,White,Undetermined,2012
4,20,M,White,Undetermined,2013
1,27,F,White,Undetermined,2013
1,20,M,Hispanic,Accidental,2014
7,23,M,White,Accidental,2013
2,32,F,White,Accidental,2013
1,23,M,Hispanic,Undetermined,2014
19,25,M,Hispanic,Suicide,2012
1,18,F,Hispanic,Suicide,2012
162,71,M,White,Suicide,2012
12,80,F,White,Suicide,2012
1,9,M,Asian/Pacific Islander,Homicide,2013
2,72,F,Black,Homicide,2013
302,22,M,Black,Homicide,2014
19,29,F,Black,Homicide,2014
15,54,M,Hispanic,Suicide,2013
325,51,M,White,Suicide,2014
6,38,M,Asian/Pacific Islander,Homicide,2012
64,58,F,White,Suicide,2014
1,53,F,White,Accidental,2012
1,56,F,White,Undetermined,2012
3,60,M,White,Accidental,2012
1,78,M,White,Undetermined,2014
2,65,M,White,Undetermined,2012
3,19,M,White,Undetermined,2013
4,19,M,Hispanic,Accidental,2014
2,24,M,White,Accidental,2013
1,31,F,White,Accidental,2013
20,26,M,Hispanic,Suicide,2012
1,17,F,Hispanic,Suicide,2012
168,72,M,White,Suicide,2012
13,79,F,White,Suicide,2012
2,71,F,Black,Homicide,2013
1,1,F,Asian/Pacific Islander,Homicide,2013
2,10,M,Asian/Pacific Islander,Homicide,2013
302,21,M,Black,Homicide,2014
10,30,F,Black,Homicide,2014
3,39,M,Asian/Pacific Islander,Homicide,2012
1,62,F,Hispanic,Suicide,2013
53,59,F,White,Suicide,2014
12,55,M,Hispanic,Suicide,2013
259,50,M,White,Suicide,2014
6,61,M,White,Accidental,2012
2,18,M,Native American/Native Alaskan,Homicide,2012
2,25,F,Native American/Native Alaskan,Homicide,2012
3,81,M,White,Accidental,2014
3,64,M,White,Undetermined,2012
3,52,F,White,Accidental,2012
152,77,M,White,Suicide,2012
16,70,F,White,Suicide,2012
239,66,M,White,Suicide,2014
199,28,M,Black,Homicide,2014
27,19,F,Black,Homicide,2014
22,23,M,Hispanic,Suicide,2012
4,32,F,Hispanic,Suicide,2012
9,25,M,White,Accidental,2013
1,18,F,White,Accidental,2013
4,68,M,White,Accidental,2014
1,25,M,Hispanic,Undetermined,2014
2,30,M,White,Undetermined,2013
1,21,F,White,Undetermined,2013
1,30,M,Hispanic,Accidental,2014
2,71,M,White,Undetermined,2014
2,51,M,White,Undetermined,2012
5,54,M,White,Accidental,2012
1,63,F,White,Accidental,2012
1,24,F,Native American/Native Alaskan,Homicide,2012
3,31,M,Native American/Native Alaskan,Homicide,2012
4,53,F,Hispanic,Suicide,2013
1,33,F,Hispanic,Suicide,2012
1,37,F,Asian/Pacific Islander,Homicide,2012
3,44,M,Asian/Pacific Islander,Homicide,2012
83,56,F,White,Suicide,2014
11,60,M,Hispanic,Suicide,2013
145,78,M,White,Suicide,2012
38,69,F,White,Suicide,2012
3,70,M,Black,Homicide,2013
246,65,M,White,Suicide,2014
214,27,M,Black,Homicide,2014
22,20,F,Black,Homicide,2014
29,24,M,Hispanic,Suicide,2012
2,31,F,Hispanic,Suicide,2012
4,33,M,Native American/Native Alaskan,Homicide,2012
1,53,M,Native American/Native Alaskan,Homicide,2013
4,26,M,White,Accidental,2013
2,67,M,White,Accidental,2014
5,29,M,White,Undetermined,2013
2,22,F,White,Undetermined,2013
1,29,M,Hispanic,Accidental,2014
3,72,M,White,Undetermined,2014
1,60,F,Native American/Native Alaskan,Homicide,2013
1,59,F,White,Undetermined,2012
11,55,M,White,Accidental,2012
53,57,F,White,Suicide,2014
4,32,M,Native American/Native Alaskan,Homicide,2012
1,23,F,Native American/Native Alaskan,Homicide,2012
7,61,M,Hispanic,Suicide,2013
2,45,M,Asian/Pacific Islander,Homicide,2012
2,36,F,Asian/Pacific Islander,Homicide,2012
280,64,M,White,Suicide,2014
1,52,F,Hispanic,Suicide,2013
24,21,M,Hispanic,Suicide,2012
5,30,F,Hispanic,Suicide,2012
198,75,M,White,Suicide,2012
29,68,F,White,Suicide,2012
5,67,M,Black,Homicide,2013
235,26,M,Black,Homicide,2014
17,17,F,Black,Homicide,2014
2,23,F,White,Undetermined,2013
4,32,M,White,Undetermined,2013
2,32,M,Hispanic,Accidental,2014
3,27,M,White,Accidental,2013
3,20,F,White,Accidental,2013
1,50,M,Native American/Native Alaskan,Homicide,2013
3,70,M,White,Accidental,2014
3,56,M,White,Accidental,2012
5,29,M,Native American/Native Alaskan,Homicide,2012
2,22,F,Native American/Native Alaskan,Homicide,2012
3,53,M,White,Undetermined,2012
2,33,M,White,Undetermined,2013
1,35,F,Asian/Pacific Islander,Homicide,2012
11,58,M,Hispanic,Suicide,2013
241,63,M,White,Suicide,2014
5,42,M,Asian/Pacific Islander,Homicide,2012
4,51,F,Hispanic,Suicide,2013
80,54,F,White,Suicide,2014
51,22,M,Hispanic,Suicide,2012
2,74,M,White,Undetermined,2014
161,76,M,White,Suicide,2012
19,67,F,White,Suicide,2012
3,68,M,Black,Homicide,2013
280,25,M,Black,Homicide,2014
19,18,F,Black,Homicide,2014
3,31,M,White,Undetermined,2013
1,24,F,White,Undetermined,2013
1,31,M,Hispanic,Accidental,2014
1,24,F,Hispanic,Accidental,2014
5,28,M,White,Accidental,2013
1,51,M,Native American/Native Alaskan,Homicide,2013
1,69,M,Hispanic,Undetermined,2013
5,69,M,White,Accidental,2014
2,52,M,White,Undetermined,2012
1,30,M,Native American/Native Alaskan,Homicide,2012
1,21,F,Native American/Native Alaskan,Homicide,2012
4,57,M,White,Accidental,2012
2,43,M,Asian/Pacific Islander,Homicide,2012
1,50,F,Hispanic,Suicide,2013
77,55,F,White,Suicide,2014
8,59,M,Hispanic,Suicide,2013
265,62,M,White,Suicide,2014
18,23,F,Black,Homicide,2014
167,32,M,Black,Homicide,2014
29,19,M,Hispanic,Suicide,2012
1,28,F,Hispanic,Suicide,2012
7,65,M,Hispanic,Suicide,2013
17,74,F,White,Suicide,2012
4,29,M,White,Accidental,2013
1,73,M,Black,Homicide,2013
3,72,M,White,Accidental,2014
1,22,F,Hispanic,Undetermined,2014
2,29,M,Hispanic,Undetermined,2014
4,26,M,White,Undetermined,2013
1,17,F,White,Undetermined,2013
6,27,M,Native American/Native Alaskan,Homicide,2012
2,20,F,Native American/Native Alaskan,Homicide,2012
3,55,M,White,Undetermined,2012
8,50,M,White,Accidental,2012
4,57,F,Hispanic,Suicide,2013
1,41,F,Asian/Pacific Islander,Homicide,2012
3,48,M,Asian/Pacific Islander,Homicide,2012
73,52,F,White,Suicide,2014
8,64,M,Hispanic,Suicide,2013
134,81,M,White,Suicide,2012
309,61,M,White,Suicide,2014
144,33,M,Black,Homicide,2014
29,24,F,Black,Homicide,2014
159,31,M,Black,Homicide,2014
24,20,M,Hispanic,Suicide,2012
3,27,F,Hispanic,Suicide,2012
1,57,M,Native American/Native Alaskan,Homicide,2013
11,66,M,Hispanic,Suicide,2013
5,49,M,Asian/Pacific Islander,Homicide,2012
10,73,F,White,Suicide,2012
8,30,M,White,Accidental,2013
4,74,M,Black,Homicide,2013
4,71,M,White,Accidental,2014
2,25,M,White,Undetermined,2013
2,25,M,Hispanic,Accidental,2014
5,28,M,Native American/Native Alaskan,Homicide,2012
1,19,F,Native American/Native Alaskan,Homicide,2012
1,58,F,White,Accidental,2012
4,51,M,White,Accidental,2012
3,54,M,White,Undetermined,2012
2,40,F,Asian/Pacific Islander,Homicide,2012
328,60,M,White,Suicide,2014
146,82,M,White,Suicide,2012
2,81,F,Black,Homicide,2013
87,53,F,White,Suicide,2014
14,17,M,Hispanic,Suicide,2012
3,26,F,Hispanic,Suicide,2012
155,79,M,White,Suicide,2012
19,72,F,White,Suicide,2012
32,21,F,Black,Homicide,2014
173,30,M,Black,Homicide,2014
1,71,M,Black,Homicide,2013
2,74,M,White,Accidental,2014
1,83,F,Asian/Pacific Islander,Homicide,2014
1,69,M,White,Undetermined,2014
3,54,M,Native American/Native Alaskan,Homicide,2013
1,65,F,White,Undetermined,2012
6,28,M,White,Undetermined,2013
1,28,M,Hispanic,Accidental,2014
2,31,M,White,Accidental,2013
1,25,M,Native American/Native Alaskan,Homicide,2012
2,64,F,White,Undetermined,2012
4,52,M,White,Accidental,2012
2,39,F,Asian/Pacific Islander,Homicide,2012
8,62,M,Hispanic,Suicide,2013
329,59,M,White,Suicide,2014
3,57,M,White,Undetermined,2012
2,46,M,Asian/Pacific Islander,Homicide,2012
1,100,M,White,Suicide,2013
4,55,F,Hispanic,Suicide,2013
89,50,F,White,Suicide,2014
1,0,M,Asian/Pacific Islander,Homicide,2013
17,18,M,Hispanic,Suicide,2012
2,25,F,Hispanic,Suicide,2012
142,80,M,White,Suicide,2012
26,71,F,White,Suicide,2012
3,72,M,Black,Homicide,2013
207,29,M,Black,Homicide,2014
6,73,M,White,Accidental,2014
23,22,F,Black,Homicide,2014
1,77,F,White,Undetermined,2014
1,70,M,White,Undetermined,2014
1,66,F,White,Undetermined,2012
5,27,M,White,Undetermined,2013
2,20,F,White,Undetermined,2013
1,32,M,White,Accidental,2013
1,32,M,Hispanic,Undetermined,2014
1,23,F,Hispanic,Undetermined,2014
8,53,M,White,Accidental,2012
8,33,M,White,Accidental,2013
2,33,M,Hispanic,Undetermined,2014
2,26,M,Native American/Native Alaskan,Homicide,2012
1,82,F,White,Accidental,2014
3,56,M,White,Undetermined,2012
2,47,M,Asian/Pacific Islander,Homicide,2012
88,51,F,White,Suicide,2014
6,63,M,Hispanic,Suicide,2013
336,58,M,White,Suicide,2014
3,45,F,Hispanic,Suicide,2013
2,61,F,Asian/Pacific Islander,Homicide,2012
3,52,M,Asian/Pacific Islander,Homicide,2012
64,48,F,White,Suicide,2014
22,36,M,Hispanic,Suicide,2013
2,46,M,White,Accidental,2012
1,34,F,White,Undetermined,2012
1,39,F,White,Accidental,2012
206,41,M,White,Suicide,2014
1,0,M,White,Accidental,2013
1,NA,F,White,Suicide,2014
2,10,F,White,Accidental,2013
1,92,M,White,Accidental,2014
126,85,M,White,Suicide,2012
1,94,F,White,Suicide,2012
2,31,M,Asian/Pacific Islander,Homicide,2013
3,24,F,Asian/Pacific Islander,Homicide,2013
4,11,F,Black,Homicide,2014
2,4,M,Black,Homicide,2014
9,15,M,Hispanic,Suicide,2012
15,37,M,Hispanic,Suicide,2013
4,33,M,Asian/Pacific Islander,Homicide,2013
154,40,M,White,Suicide,2014
3,44,F,Hispanic,Suicide,2013
1,38,F,White,Accidental,2012
1,35,F,White,Undetermined,2012
6,47,M,White,Accidental,2012
1,42,M,White,Undetermined,2012
1,45,M,Native American/Native Alaskan,Homicide,2013
2,2,M,White,Accidental,2013
1,73,M,Asian/Pacific Islander,Homicide,2014
1,5,M,Hispanic,Accidental,2014
1,87,F,White,Undetermined,2014
109,86,M,White,Suicide,2012
1,94,M,Black,Homicide,2013
75,49,F,White,Suicide,2014
4,32,M,Asian/Pacific Islander,Homicide,2013
2,3,M,Black,Homicide,2014
1,12,F,Black,Homicide,2014
6,16,M,Hispanic,Suicide,2012
15,34,M,Hispanic,Suicide,2013
167,39,M,White,Suicide,2014
1,50,M,Asian/Pacific Islander,Homicide,2012
2,43,F,Hispanic,Suicide,2013
55,46,F,White,Suicide,2014
1,36,F,White,Undetermined,2012
3,48,M,White,Accidental,2012
2,45,M,White,Undetermined,2012
6,3,M,White,Accidental,2013
1,12,F,White,Accidental,2013
2,42,M,Native American/Native Alaskan,Homicide,2013
1,94,M,White,Accidental,2014
1,13,M,Hispanic,Suicide,2012
143,83,M,White,Suicide,2012
1,92,F,White,Suicide,2012
1,22,F,Asian/Pacific Islander,Homicide,2013
6,29,M,Asian/Pacific Islander,Homicide,2013
3,2,M,Black,Homicide,2014
1,0,M,Black,Homicide,2014
58,47,F,White,Suicide,2014
17,35,M,Hispanic,Suicide,2013
171,38,M,White,Suicide,2014
1,44,M,White,Undetermined,2012
4,4,M,White,Accidental,2013
5,49,M,White,Accidental,2012
2,43,M,Native American/Native Alaskan,Homicide,2013
7,14,M,Hispanic,Suicide,2012
149,84,M,White,Suicide,2012
4,91,F,White,Suicide,2012
4,30,M,Asian/Pacific Islander,Homicide,2013
1,1,M,Black,Homicide,2014
4,10,F,Black,Homicide,2014
1,71,M,Asian/Pacific Islander,Homicide,2014
3,56,M,Asian/Pacific Islander,Homicide,2012
49,44,F,White,Suicide,2014
16,40,M,Hispanic,Suicide,2013
186,37,M,White,Suicide,2014
1,3,M,Native American/Native Alaskan,Homicide,2012
2,42,M,White,Accidental,2012
3,47,M,White,Undetermined,2012
2,38,F,White,Undetermined,2012
2,35,F,White,Accidental,2012
3,48,M,Native American/Native Alaskan,Homicide,2013
60,89,M,White,Suicide,2012
1,90,F,Black,Homicide,2013
3,5,M,White,Accidental,2013
1,96,M,White,Accidental,2014
1,2,M,Hispanic,Accidental,2014
1,20,F,Asian/Pacific Islander,Homicide,2013
7,27,M,Asian/Pacific Islander,Homicide,2013
4,15,F,Black,Homicide,2014
2,8,M,Black,Homicide,2014
2,49,F,Hispanic,Suicide,2013
2,64,F,Asian/Pacific Islander,Homicide,2012
186,36,M,White,Suicide,2014
2,48,F,Hispanic,Suicide,2013
1,98,F,White,Suicide,2012
53,45,F,White,Suicide,2014
13,41,M,Hispanic,Suicide,2013
5,43,M,White,Accidental,2012
2,40,F,Native American/Native Alaskan,Homicide,2013
60,90,M,White,Suicide,2012
1,13,F,White,Accidental,2013
1,6,M,White,Accidental,2013
1,92,M,White,Undetermined,2014
1,19,F,Asian/Pacific Islander,Homicide,2013
3,28,M,Asian/Pacific Islander,Homicide,2013
4,7,M,Black,Homicide,2014
8,16,F,Black,Homicide,2014
1,12,M,Hispanic,Suicide,2012
1,65,F,Asian/Pacific Islander,Homicide,2012
20,38,M,Hispanic,Suicide,2013
184,35,M,White,Suicide,2014
2,47,F,Hispanic,Suicide,2013
55,42,F,White,Suicide,2014
2,37,F,White,Accidental,2012
4,44,M,White,Accidental,2012
1,46,M,Native American/Native Alaskan,Homicide,2013
3,49,M,White,Undetermined,2012
2,7,M,White,Accidental,2013
88,87,M,White,Suicide,2012
5,25,M,Asian/Pacific Islander,Homicide,2013
2,18,F,Asian/Pacific Islander,Homicide,2013
1,95,M,Black,Homicide,2013
1,6,M,Black,Homicide,2014
1,13,F,Black,Homicide,2014
3,55,M,Asian/Pacific Islander,Homicide,2012
4,46,F,Hispanic,Suicide,2013
52,43,F,White,Suicide,2014
1,41,F,White,Undetermined,2012
17,39,M,Hispanic,Suicide,2013
185,34,M,White,Suicide,2014
4,45,M,White,Accidental,2012
3,48,M,White,Undetermined,2012
1,47,M,Native American/Native Alaskan,Homicide,2013
1,12,F,Hispanic,Accidental,2014
2,8,M,White,Accidental,2013
1,15,F,White,Accidental,2013
99,88,M,White,Suicide,2012
1,95,F,White,Suicide,2012
1,26,M,Asian/Pacific Islander,Homicide,2013
4,5,M,Black,Homicide,2014
3,14,F,Black,Homicide,2014
2,38,M,White,Accidental,2012
2,35,M,White,Undetermined,2012
1,15,M,Native American/Native Alaskan,Homicide,2012
1,8,F,Native American/Native Alaskan,Homicide,2012
1,37,F,Hispanic,Suicide,2013
2,33,F,Asian/Pacific Islander,Homicide,2013
1,53,F,Asian/Pacific Islander,Homicide,2012
1,60,M,Asian/Pacific Islander,Homicide,2012
46,40,F,White,Suicide,2014
15,44,M,Hispanic,Suicide,2013
21,93,M,White,Suicide,2012
8,86,F,White,Suicide,2012
294,49,M,White,Suicide,2014
4,23,M,Asian/Pacific Islander,Homicide,2013
3,12,M,Black,Homicide,2014
6,3,F,Black,Homicide,2014
1,16,F,Hispanic,Suicide,2012
1,2,F,White,Accidental,2013
1,9,M,White,Accidental,2013
1,14,M,White,Undetermined,2013
1,36,M,Native American/Native Alaskan,Homicide,2013
4,46,F,White,Accidental,2012
1,43,F,White,Undetermined,2012
2,34,M,White,Undetermined,2012
4,39,M,White,Accidental,2012
53,41,F,White,Suicide,2014
2,16,M,Native American/Native Alaskan,Homicide,2012
14,45,M,Hispanic,Suicide,2013
3,61,M,Asian/Pacific Islander,Homicide,2012
259,48,M,White,Suicide,2014
2,36,F,Hispanic,Suicide,2013
16,94,M,White,Suicide,2012
7,85,F,White,Suicide,2012
2,24,M,Asian/Pacific Islander,Homicide,2013
2,11,M,Black,Homicide,2014
2,4,F,Black,Homicide,2014
3,37,M,Native American/Native Alaskan,Homicide,2013
5,10,M,White,Accidental,2013
1,83,M,White,Accidental,2014
3,13,M,White,Undetermined,2013
1,6,F,Hispanic,Accidental,2014
1,13,M,Hispanic,Accidental,2014
2,44,F,White,Undetermined,2012
3,40,M,White,Accidental,2012
1,51,F,Asian/Pacific Islander,Homicide,2012
20,42,M,Hispanic,Suicide,2013
243,47,M,White,Suicide,2014
2,58,M,Asian/Pacific Islander,Homicide,2012
4,35,F,Hispanic,Suicide,2013
30,38,F,White,Suicide,2014
2,14,F,Hispanic,Suicide,2012
52,91,M,White,Suicide,2012
7,84,F,White,Suicide,2012
9,21,M,Asian/Pacific Islander,Homicide,2013
1,83,M,Black,Homicide,2013
1,71,F,Asian/Pacific Islander,Homicide,2014
1,1,F,Black,Homicide,2014
2,10,M,Black,Homicide,2014
2,16,M,White,Undetermined,2013
1,11,M,White,Accidental,2013
1,4,F,White,Accidental,2013
2,49,F,White,Accidental,2012
2,34,M,Native American/Native Alaskan,Homicide,2013
2,36,M,White,Undetermined,2012
1,45,F,White,Undetermined,2012
4,41,M,White,Accidental,2012
1,59,M,Asian/Pacific Islander,Homicide,2012
5,34,F,Hispanic,Suicide,2013
36,39,F,White,Suicide,2014
1,50,F,Asian/Pacific Islander,Homicide,2012
12,43,M,Hispanic,Suicide,2013
248,46,M,White,Suicide,2014
1,90,M,White,Undetermined,2014
10,83,F,White,Suicide,2012
22,92,M,White,Suicide,2012
4,22,M,Asian/Pacific Islander,Homicide,2013
2,84,M,Black,Homicide,2013
1,29,F,Asian/Pacific Islander,Homicide,2013
4,9,M,Black,Homicide,2014
2,72,F,Asian/Pacific Islander,Homicide,2014
3,2,F,Black,Homicide,2014
3,12,M,White,Accidental,2013
1,3,F,White,Accidental,2013
2,35,M,Native American/Native Alaskan,Homicide,2013
2,85,M,White,Accidental,2014
7,34,M,White,Accidental,2012
2,39,M,White,Undetermined,2012
3,41,F,Hispanic,Suicide,2013
2,46,F,White,Undetermined,2012
3,57,F,Asian/Pacific Islander,Homicide,2012
1,64,M,Asian/Pacific Islander,Homicide,2012
30,36,F,White,Suicide,2014
14,48,M,Hispanic,Suicide,2013
4,98,M,White,Suicide,2012
238,45,M,White,Suicide,2014
3,28,F,Asian/Pacific Islander,Homicide,2013
5,19,M,Asian/Pacific Islander,Homicide,2013
98,16,M,Black,Homicide,2014
1,7,F,Black,Homicide,2014
1,65,M,Asian/Pacific Islander,Homicide,2012
4,40,M,Native American/Native Alaskan,Homicide,2013
1,90,F,White,Suicide,2012
1,13,M,White,Accidental,2013
1,6,F,White,Accidental,2013
2,47,F,White,Undetermined,2012
5,35,M,White,Accidental,2012
2,38,M,White,Undetermined,2012
235,44,M,White,Suicide,2014
1,40,F,Hispanic,Suicide,2013
2,99,M,White,Suicide,2012
39,37,F,White,Suicide,2014
3,20,M,Asian/Pacific Islander,Homicide,2013
2,27,F,Asian/Pacific Islander,Homicide,2013
49,15,M,Black,Homicide,2014
12,49,M,Hispanic,Suicide,2013
1,41,M,Native American/Native Alaskan,Homicide,2013
2,66,M,Asian/Pacific Islander,Homicide,2012
10,89,F,White,Suicide,2012
1,84,M,Hispanic,Accidental,2013
1,9,M,Hispanic,Accidental,2014
3,84,M,White,Undetermined,2014
1,9,M,Native American/Native Alaskan,Homicide,2012
2,48,F,White,Undetermined,2012
1,36,M,White,Accidental,2012
11,46,M,Hispanic,Suicide,2013
202,43,M,White,Suicide,2014
3,41,M,White,Undetermined,2012
2,62,M,Asian/Pacific Islander,Homicide,2012
2,39,F,Hispanic,Suicide,2013
30,34,F,White,Suicide,2014
5,88,F,White,Suicide,2012
18,95,M,White,Suicide,2012
4,17,M,Asian/Pacific Islander,Homicide,2013
2,26,F,Asian/Pacific Islander,Homicide,2013
20,14,M,Black,Homicide,2014
3,5,F,Black,Homicide,2014
2,38,M,Native American/Native Alaskan,Homicide,2013
1,12,M,White,Undetermined,2013
4,15,M,White,Accidental,2013
1,15,M,Hispanic,Undetermined,2014
4,37,M,White,Accidental,2012
1,40,M,White,Undetermined,2012
4,38,F,Hispanic,Suicide,2013
1,63,M,Asian/Pacific Islander,Homicide,2012
40,35,F,White,Suicide,2014
13,47,M,Hispanic,Suicide,2013
206,42,M,White,Suicide,2014
5,97,M,White,Suicide,2012
5,87,F,White,Suicide,2012
10,96,M,White,Suicide,2012
1,25,F,Asian/Pacific Islander,Homicide,2013
2,18,M,Asian/Pacific Islander,Homicide,2013
11,13,M,Black,Homicide,2014
2,6,F,Black,Homicide,2014
1,89,M,White,Accidental,2014
1,86,M,White,Undetermined,2014
1,39,M,Native American/Native Alaskan,Homicide,2013
5,16,M,White,Accidental,2013
2,57,F,Hispanic,Suicide,2012
4,55,M,White,Undetermined,2013
3,50,M,White,Accidental,2013
1,50,M,Hispanic,Undetermined,2014
1,59,F,White,Accidental,2013
3,41,F,Asian/Pacific Islander,Homicide,2013
2,27,M,Native American/Native Alaskan,Homicide,2013
156,81,M,White,Suicide,2013
33,53,M,Black,Homicide,2014
5,64,M,Hispanic,Suicide,2012
10,65,M,Hispanic,Suicide,2012
6,78,M,Hispanic,Suicide,2014
1,69,F,Hispanic,Suicide,2014
47,31,F,White,Suicide,2014
215,24,M,White,Suicide,2014
18,19,M,Hispanic,Suicide,2013
3,28,F,Hispanic,Suicide,2013
3,73,M,Black,Homicide,2012
6,29,M,White,Accidental,2012
11,74,F,White,Suicide,2013
4,26,M,White,Undetermined,2012
3,58,F,White,Accidental,2013
11,51,M,White,Accidental,2013
1,54,M,White,Undetermined,2013
2,28,M,Native American/Native Alaskan,Homicide,2013
1,19,F,Native American/Native Alaskan,Homicide,2013
2,81,F,Black,Homicide,2012
